JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
BWANGA MOUI::IRGC 76262-1::[IRIS 313-11946]	IRIS 313-11946		trop
KALINDIG::IRGC 78968-1::[IRIS 313-11994]	IRIS 313-11994	IRGC 131996	trop
PINUTYUKAN::IRGC 78995-1::[IRIS 313-11995]	IRIS 313-11995	IRGC 136101	trop
CHAO MEO::IRGC 80273-1::[IRIS 313-12029]	IRIS 313-12029	IRGC 132278	subtrop
P T Q QINDONAAL::IRGC 80410-1::[IRIS 313-12031]	IRIS 313-12031	IRGC 128437	trop
TINOLDO MARANGRAS::IRGC 81758-1::[IRIS 313-12051]	IRIS 313-12051	IRGC 128487	trop
KASIGNAYAN::IRGC 82788-1::[IRIS 313-12073]	IRIS 313-12073	IRGC 128336	trop
PA YANG NOEUGN::IRGC 87778-1::[IRIS 313-12164]	IRIS 313-12164	IRGC 127723	japx
MALAGKIT (ITIM)::IRGC 96124-1::[IRIS 313-12272]	IRIS 313-12272	IRGC 127594	trop
LAI HIN::IRGC 99305-1::[IRIS 313-12313]	IRIS 313-12313	IRGC 135767	subtrop
LG 10344::IRGC 99789-1::[IRIS 313-12321]	IRIS 313-12321	IRGC 127557	subtrop
DOK HIEN NOI::IRGC 107021-1::[IRIS 313-12337]	IRIS 313-12337	IRGC 127335	subtrop
MAK KHEUA KANG::IRGC 107712-1::[IRIS 313-12350]	IRIS 313-12350	IRGC 127593	subtrop
CATIBOS::IRGC 3762-1::[IRIS 313-10485]	IRIS 313-10485	IRGC 127248	trop
SUKAMANDI 1005::IRGC 6065-1::[IRIS 313-10522]	IRIS 313-10522		admix
BUSIYETAN::IRGC 11205-1::[IRIS 313-10644]	IRIS 313-10644	IRGC 128249	trop
NOK KOD::IRGC 11784-1::[IRIS 313-10656]	IRIS 313-10656	IRGC 128407	subtrop
KHAI DO::IRGC 12903-2::[IRIS 313-10679]	IRIS 313-10679	IRGC 132345	subtrop
PADI ADONG DUMARAT::IRGC 14356-1::[IRIS 313-10703]	IRIS 313-10703	IRGC 128418	trop
B 6311 A 5553-16-2::IRGC 14541-1::[IRIS 313-10708]	IRIS 313-10708	IRGC 128233	trop
PINDE GOGO WIERIE::IRGC 14795-2::[IRIS 313-10710]	IRIS 313-10710	IRGC 128135	trop
KETAN PELERN::IRGC 16468-1::[IRIS 313-10741]	IRIS 313-10741	IRGC 127509	trop
SIPON::IRGC 16570-1::[IRIS 313-10744]	IRIS 313-10744	IRGC 127811	trop
SLOBOK::IRGC 16571-1::[IRIS 313-10745]	IRIS 313-10745	IRGC 127818	trop
O. SATIVA::IRGC 16898-1::[IRIS 313-10752]	IRIS 313-10752	IRGC 128415	trop
AEN METAN::IRGC 17142-1::[IRIS 313-10758]	IRIS 313-10758	IRGC 132386	trop
ANDEL::IRGC 17153-2::[IRIS 313-10759]	IRIS 313-10759	IRGC 127927	trop
