JAPONICA NIPPONBARE POSITIONS	ASSAY ID	ACCESSION	SUBPOPULATION
C 1 6-5-2::IRGC 10669-1::[IRIS 313-9818]	IRIS 313-9818	IRGC 126147	admix
CHHOTE DHAN::[IRIS 313-8268]	IRIS 313-8268	IRGC 117446	aro
SOLAY GHAT::IRGC 73121-1::[IRIS 313-9695]	IRIS 313-9695	IRGC 131919	aus
AVO::[IRIS 313-8288]	IRIS 313-8288	IRGC 117430	indx
CARREON::[IRIS 313-8292]	IRIS 313-8292	IRGC 117442	ind3
ARANG::[IRIS 313-8791]	IRIS 313-8791	IRGC 117423	ind3
BPI 76 NON SENSITIVE (GREEN)::IRGC 9790-1::[IRIS 313-8903]	IRIS 313-8903	IRGC 120902	ind3
DA 11::IRGC 6046-1::[IRIS 313-9606]	IRIS 313-9606	IRGC 124431	ind2
NS 252::IRGC 68878-1::[IRIS 313-10030]	IRIS 313-10030	IRGC 121075	ind2
LARHA MUGAD::IRGC 52339-1::[IRIS 313-8568]	IRIS 313-8568	IRGC 125619	ind2
KAAKARAN::IRGC 27138-1::[IRIS 313-9314]	IRIS 313-9314		indx
ARC 5840::IRGC 12144-1::[IRIS 313-9424]	IRIS 313-9424	IRGC 125656	indx
NCS 237::IRGC 62202-1::[IRIS 313-9492]	IRIS 313-9492	IRGC 125853	ind2
NAZIRA SAIL::IRGC 77284-1::[IRIS 313-9696]	IRIS 313-9696	IRGC 125850	indx
HUA LI ZAO::IRGC 80950-1::[IRIS 313-10224]	IRIS 313-10224	IRGC 125766	ind1A
IRGA 370-38-1-1F-C4-2::IRGC 117342-1::[IRIS 313-10400]	IRIS 313-10400	IRGC 125988	ind1B
ARC 12536::IRGC 41068-1::[IRIS 313-9053]	IRIS 313-9053	IRGC 125644	admix
SML ACORNI::IRGC 13389-1::[IRIS 313-9464]	IRIS 313-9464	IRGC 125903	admix
RADIN PAHANG::IRGC 14487-1::[IRIS 313-8316]	IRIS 313-8316	IRGC 131948	ind3
NCS 840::IRGC 62530-1::[IRIS 313-9516]	IRIS 313-9516	IRGC 126251	ind2
ARAURE 1::IRGC 116956-1::[IRIS 313-10289]	IRIS 313-10289	IRGC 125950	ind1B
ELONI::IRGC 116980-1::[IRIS 313-10290]	IRIS 313-10290	IRGC 125963	ind1B
B 6136-3-TB-0-1-5::IRGC 117312-1::[IRIS 313-10333]	IRIS 313-10333	IRGC 125951	ind1B
B 6136 E-3-TB-0-1-5::IRGC 117311-1::[IRIS 313-10334]	IRIS 313-10334	IRGC 125952	ind1B
B 6149 F-MR-7::IRGC 117314-1::[IRIS 313-10337]	IRIS 313-10337	IRGC 125953	indx
CSR-90 IR-2::IRGC 117327-1::[IRIS 313-10349]	IRIS 313-10349	IRGC 120921	indx
CT 9737-6-1-1-2-2P-M::IRGC 117330-1::[IRIS 313-10352]	IRIS 313-10352	IRGC 120922	indx
IRGA 318-11-6-9-2B::IRGC 117339-1::[IRIS 313-10397]	IRIS 313-10397	IRGC 120991	ind1B
IRGA 659-1-2-2-2::IRGC 117345-1::[IRIS 313-10403]	IRIS 313-10403	IRGC 120993	indx
K 479-2-3::IRGC 117346-1::[IRIS 313-10404]	IRIS 313-10404	IRGC 121003	indx
BAT DO::IRGC 7014-1::[IRIS 313-8341]	IRIS 313-8341	IRGC 121599	indx
MENTIK TJERE BELUT::IRGC 18254-1::[IRIS 313-8368]	IRIS 313-8368	IRGC 126071	indx
SAN CHIAO TSWEN::IRGC 1565-1::[IRIS 313-8380]	IRIS 313-8380	IRGC 126123	ind1A
IR 2003-P7-7-4-2::IRGC 32671-1::[IRIS 313-8392]	IRIS 313-8392	IRGC 125970	ind1B
CHANG LE SAN SHU ZAO::IRGC 63561-1::[IRIS 313-8433]	IRIS 313-8433	IRGC 126115	ind1A
UPRH 233::IRGC 61667-1::[IRIS 313-8435]	IRIS 313-8435	IRGC 125627	ind1A
IRRIBINI::IRGC 49094-1::[IRIS 313-8437]	IRIS 313-8437	IRGC 126215	indx
PUILLIPINA KATARI::IRGC 77293-1::[IRIS 313-8509]	IRIS 313-8509	IRGC 126261	ind2
NG KARAN DE::IRGC 43489-1::[IRIS 313-8536]	IRIS 313-8536	IRGC 135539	ind3
KEERIPALA CHILL PADDY::IRGC 49790-1::[IRIS 313-8559]	IRIS 313-8559	IRGC 125615	ind2
ARC 11901::IRGC 21727-1::[IRIS 313-8585]	IRIS 313-8585	IRGC 127033	indx
PLI KHAO::IRGC 64596-1::[IRIS 313-8586]	IRIS 313-8586	IRGC 126081	ind3
ARC 12884::IRGC 22417-1::[IRIS 313-8603]	IRIS 313-8603	IRGC 126042	indx
RAJHUSAI (ACR 12)::IRGC 53630-1::[IRIS 313-8614]	IRIS 313-8614	IRGC 126264	ind2
IR 5494 (BPH 1)::IRGC 24484-1::[IRIS 313-8616]	IRIS 313-8616	IRGC 131939	ind1B
ARC 11663::IRGC 42695-1::[IRIS 313-8621]	IRIS 313-8621	IRGC 126174	ind1B
PATMADHAI 1::IRGC 77292-1::[IRIS 313-8632]	IRIS 313-8632		ind2
PAI YI PING::IRGC 1368-1::[IRIS 313-8645]	IRIS 313-8645	IRGC 126122	ind1A
JAO LEUANG::IRGC 65866-1::[IRIS 313-8679]	IRIS 313-8679	IRGC 126216	ind3
ROPA::IRGC 74774-1::[IRIS 313-8704]	IRIS 313-8704		ind2
NIBARI::IRGC 67742-1::[IRIS 313-8731]	IRIS 313-8731	IRGC 126119	ind2
WP 36::IRGC 55278-1::[IRIS 313-8732]	IRIS 313-8732	IRGC 126092	ind1B
SADAJIRA 19-287::IRGC 38320-1::[IRIS 313-8737]	IRIS 313-8737	IRGC 126270	ind2
REMOL::IRGC 18624-1::[IRIS 313-8744]	IRIS 313-8744	IRGC 126266	ind3
TYPE 50::IRGC 74782-1::[IRIS 313-8754]	IRIS 313-8754	IRGC 126011	ind2
RELLY::IRGC 14623-1::[IRIS 313-8812]	IRIS 313-8812	IRGC 126160	ind3
ARC 14060::IRGC 41374-1::[IRIS 313-8844]	IRIS 313-8844	IRGC 125648	ind2
BAIANG 6::IRGC 6129-1::[IRIS 313-8846]	IRIS 313-8846	IRGC 125668	indx
ASHMBER::IRGC 27522-1::[IRIS 313-8850]	IRIS 313-8850	IRGC 125657	ind2
PAGAIYAHAN::[IRIS 313-8880]	IRIS 313-8880	IRGC 117550	indx
FAYA MOSHI::IRGC 69653-1::[IRIS 313-8909]	IRIS 313-8909	IRGC 125740	ind3
E 2040::IRGC 67968-1::[IRIS 313-8914]	IRIS 313-8914	IRGC 125731	indx
PATALASAFED SUNGHAWADO::IRGC 61133-1::[IRIS 313-8920]	IRIS 313-8920	IRGC 125869	ind2
KUTTA::IRGC 52184-1::[IRIS 313-8924]	IRIS 313-8924	IRGC 125815	ind2
KURULUTUDU::IRGC 36304-1::[IRIS 313-8925]	IRIS 313-8925	IRGC 125813	ind2
MUKKALA BAZAL::IRGC 77279-1::[IRIS 313-8930]	IRIS 313-8930	IRGC 125844	ind1B
PATISAIL::IRGC 37562-1::[IRIS 313-8932]	IRIS 313-8932	IRGC 126079	ind3
ARC 18061::IRGC 47650-1::[IRIS 313-8935]	IRIS 313-8935	IRGC 127034	indx
FU ZAO XIAN::IRGC 63619-1::[IRIS 313-8940]	IRIS 313-8940	IRGC 125744	ind1A
BUCAYAB::IRGC 44357-1::[IRIS 313-8948]	IRIS 313-8948	IRGC 126974	ind3
RADEN KARAMUNTING::IRGC 20098-1::[IRIS 313-8956]	IRIS 313-8956	IRGC 125882	ind3
BAM 9::IRGC 6179-1::[IRIS 313-8957]	IRIS 313-8957	IRGC 125670	ind2
ARC 12576::IRGC 22163-1::[IRIS 313-8967]	IRIS 313-8967	IRGC 125645	indx
KALU ILANKALAYAN::IRGC 36270-1::[IRIS 313-8968]	IRIS 313-8968	IRGC 125792	ind2
ARC 18112::IRGC 42274-1::[IRIS 313-8982]	IRIS 313-8982	IRGC 125655	indx
KHAO' HAWM::IRGC 78257-1::[IRIS 313-8985]	IRIS 313-8985	IRGC 126153	ind3
ARC 10754::IRGC 12603-1::[IRIS 313-8986]	IRIS 313-8986	IRGC 125637	indx
BANIKAT::IRGC 67720-1::[IRIS 313-8988]	IRIS 313-8988	IRGC 125672	ind2
ARC 14064::IRGC 41377-1::[IRIS 313-8994]	IRIS 313-8994	IRGC 125649	indx
SRAU SENG::IRGC 30290-1::[IRIS 313-8996]	IRIS 313-8996	IRGC 126169	ind3
PING SHAN TA TSWEN KU::IRGC 1563-1::[IRIS 313-9017]	IRIS 313-9017	IRGC 126988	indx
KAM PAI::IRGC 78245-1::[IRIS 313-9019]	IRIS 313-9019	IRGC 126152	ind3
LEUANG CHAIYAPHUM::IRGC 78266-1::[IRIS 313-9020]	IRIS 313-9020	IRGC 126983	ind3
CR 60-10::IRGC 15777-1::[IRIS 313-9023]	IRIS 313-9023	IRGC 125715	indx
KHAO GRADOOK CHAHNG::IRGC 17111-1::[IRIS 313-9032]	IRIS 313-9032	IRGC 125800	ind1B
PAI CHUEH CHIU LIU::IRGC 34259-1::[IRIS 313-9065]	IRIS 313-9065	IRGC 125865	ind1A
AUS 177::IRGC 29009-1::[IRIS 313-9066]	IRIS 313-9066	IRGC 125659	ind1B
KONTOL 86::IRGC 14281-1::[IRIS 313-9070]	IRIS 313-9070	IRGC 126154	ind3
MUTA GANJE::IRGC 26744-1::[IRIS 313-9072]	IRIS 313-9072	IRGC 125847	ind2
LEUANG YAI 344::IRGC 651-1::[IRIS 313-9112]	IRIS 313-9112	IRGC 125826	ind3
LEUANG 28-1-87::IRGC 874-1::[IRIS 313-9114]	IRIS 313-9114	IRGC 125822	indx
LEUANG YAI 29-12-2::IRGC 881-1::[IRIS 313-9115]	IRIS 313-9115	IRGC 126157	ind3
LEUANG YAI 2 B 72::IRGC 882-1::[IRIS 313-9116]	IRIS 313-9116	IRGC 126138	ind3
KHAO LEUANG RAI::IRGC 48168-1::[IRIS 313-9121]	IRIS 313-9121	IRGC 125802	ind2
GOJOL GORIA::IRGC 26629-1::[IRIS 313-9139]	IRIS 313-9139	IRGC 125754	ind2
KUSHIARA::IRGC 34709-1::[IRIS 313-9174]	IRIS 313-9174	IRGC 125814	ind2
KHAO MON::IRGC 60764-1::[IRIS 313-9182]	IRIS 313-9182	IRGC 125803	indx
KHAO PONG AEV::IRGC 29820-1::[IRIS 313-9198]	IRIS 313-9198		ind3
CHI SHENG TAO::IRGC 4606-1::[IRIS 313-9204]	IRIS 313-9204	IRGC 125704	ind1A
KACIK TARAM::IRGC 35310-1::[IRIS 313-9208]	IRIS 313-9208	IRGC 126165	ind3
KUATEK::IRGC 14285-1::[IRIS 313-9210]	IRIS 313-9210	IRGC 131915	ind3
KALO CHAKOL::IRGC 77258-1::[IRIS 313-9218]	IRIS 313-9218	IRGC 126136	ind2
WP 65::IRGC 36526-1::[IRIS 313-9227]	IRIS 313-9227	IRGC 126013	ind1B
JANDA LAOR::IRGC 48552-1::[IRIS 313-9251]	IRIS 313-9251	IRGC 126980	ind3
YONG JIN ZAO 3::IRGC 70441-1::[IRIS 313-9253]	IRIS 313-9253	IRGC 125946	ind1A
GALWAKA HANDERAN::IRGC 31381-1::[IRIS 313-9256]	IRIS 313-9256	IRGC 125746	indx
G 25::IRGC 45733-1::[IRIS 313-9259]	IRIS 313-9259	IRGC 126150	ind2
JHODI BIRUN::IRGC 31812-1::[IRIS 313-9262]	IRIS 313-9262	IRGC 125785	ind2
LEUANG TAWNG SOOK::IRGC 24394-1::[IRIS 313-9286]	IRIS 313-9286	IRGC 126137	ind3
SONAMUKHI::IRGC 46693-1::[IRIS 313-9287]	IRIS 313-9287	IRGC 126161	ind2
ARC 10799::IRGC 12631-1::[IRIS 313-9313]	IRIS 313-9313	IRGC 125638	indx
VEN THAP::IRGC 56138-1::[IRIS 313-9317]	IRIS 313-9317	IRGC 125933	indx
SIPULUT HITAM PENDEK::IRGC 20154-1::[IRIS 313-9320]	IRIS 313-9320	IRGC 125901	ind3
CHIH SHEN LI::IRGC 1306-1::[IRIS 313-9324]	IRIS 313-9324	IRGC 125702	ind1A
ARC 13778::IRGC 41216-1::[IRIS 313-9347]	IRIS 313-9347	IRGC 125647	indx
BK 26::IRGC 45197-1::[IRIS 313-9348]	IRIS 313-9348	IRGC 125684	ind2
HAM 48::IRGC 29740-1::[IRIS 313-9357]	IRIS 313-9357	IRGC 128532	ind3
WI BIR SHUN::IRGC 4602-1::[IRIS 313-9372]	IRIS 313-9372	IRGC 125937	ind1A
BARIK KUDI::IRGC 52807-1::[IRIS 313-9384]	IRIS 313-9384	IRGC 125674	ind2
KALABAIL::IRGC 25877-1::[IRIS 313-9391]	IRIS 313-9391	IRGC 125789	ind2
PAHK NOK GAEW::IRGC 64572-1::[IRIS 313-9415]	IRIS 313-9415		ind3
ARC 18092::IRGC 42256-1::[IRIS 313-9427]	IRIS 313-9427	IRGC 125654	indx
GOKULGANJA::IRGC 45701-1::[IRIS 313-9433]	IRIS 313-9433	IRGC 126151	ind2
PAMAH S 18::IRGC 61322-1::[IRIS 313-9451]	IRIS 313-9451	IRGC 126140	indx
KARANTABA 1::IRGC 15924-1::[IRIS 313-9461]	IRIS 313-9461	IRGC 125795	ind3
TSAO SHENG LI 1::IRGC 1309-1::[IRIS 313-9469]	IRIS 313-9469	IRGC 125929	ind1A
H 6::IRGC 157-1::[IRIS 313-9472]	IRIS 313-9472	IRGC 125756	indx
E 2024::IRGC 67958-1::[IRIS 313-9482]	IRIS 313-9482	IRGC 125730	ind1B
CHNNOR::IRGC 67485-1::[IRIS 313-9484]	IRIS 313-9484	IRGC 125706	indx
BINUHANGIN::IRGC 67429-1::[IRIS 313-9503]	IRIS 313-9503	IRGC 125683	indx
KORASISI::IRGC 5285-1::[IRIS 313-9505]	IRIS 313-9505	IRGC 125809	ind1A
RPW 9-4 (SS 1)::IRGC 50690-1::[IRIS 313-9522]	IRIS 313-9522	IRGC 126084	indx
LABRA::IRGC 74757-1::[IRIS 313-9547]	IRIS 313-9547	IRGC 125817	ind2
BENGALY MORIMO::IRGC 10976-1::[IRIS 313-9551]	IRIS 313-9551	IRGC 125677	ind2
ARC 11857::IRGC 40972-1::[IRIS 313-9560]	IRIS 313-9560	IRGC 125643	indx
KHAO CHUAN CHOM 452::IRGC 36571-1::[IRIS 313-9567]	IRIS 313-9567	IRGC 131914	ind3
NX 3533::IRGC 63796-1::[IRIS 313-9570]	IRIS 313-9570	IRGC 125859	indx
ASU::IRGC 62154-1::[IRIS 313-9572]	IRIS 313-9572	IRGC 125658	indx
B 78-S81::IRGC 58415-1::[IRIS 313-9574]	IRIS 313-9574	IRGC 125662	indx
KETAN SERANG::IRGC 14615-1::[IRIS 313-9590]	IRIS 313-9590	IRGC 125799	ind3
ASHI BINNI::IRGC 77216-1::[IRIS 313-9594]	IRIS 313-9594	IRGC 126131	indx
E LONG MAH::IRGC 47946-1::[IRIS 313-9600]	IRIS 313-9600	IRGC 126133	indx
HTA 22::IRGC 45827-1::[IRIS 313-9602]	IRIS 313-9602	IRGC 125765	indx
RPA 5929 (K 45)::IRGC 33963-1::[IRIS 313-9604]	IRIS 313-9604	IRGC 125890	indx
NCS 194::IRGC 51932-1::[IRIS 313-9605]	IRIS 313-9605	IRGC 125852	ind1A
ARC 10594::IRGC 12524-1::[IRIS 313-9609]	IRIS 313-9609	IRGC 125636	indx
WANGA BARUGULU::IRGC 52261-1::[IRIS 313-9611]	IRIS 313-9611	IRGC 125935	ind2
PESAGRO 102::IRGC 78703-1::[IRIS 313-9623]	IRIS 313-9623	IRGC 126001	indx
BONG BOI::IRGC 32094-1::[IRIS 313-9637]	IRIS 313-9637	IRGC 125689	ind3
BOW SU SO::IRGC 78237-1::[IRIS 313-9697]	IRIS 313-9697	IRGC 125690	ind3
TAITUNG WOO LI::IRGC 111-1::[IRIS 313-9705]	IRIS 313-9705	IRGC 125914	ind1A
TAIPEI WOO CO::IRGC 112-1::[IRIS 313-9706]	IRIS 313-9706	IRGC 125913	ind1A
TSAI YUAN CHON::IRGC 126-1::[IRIS 313-9708]	IRIS 313-9708	IRGC 125928	ind1A
AI ZI HUNG::IRGC 51255-1::[IRIS 313-9723]	IRIS 313-9723	IRGC 126129	ind1A
BA SHI ZAO::IRGC 67903-1::[IRIS 313-9730]	IRIS 313-9730	IRGC 125675	ind1A
I KUNG PAO::IRGC 114-1::[IRIS 313-9758]	IRIS 313-9758	IRGC 125770	ind1A
CI 9445::IRGC 2081-1::[IRIS 313-9767]	IRIS 313-9767	IRGC 125711	indx
LEAD::IRGC 5805-1::[IRIS 313-9791]	IRIS 313-9791	IRGC 125821	indx
CRILLO LA FRIA::IRGC 10793-1::[IRIS 313-9822]	IRIS 313-9822	IRGC 125716	ind1A
MOCHICA::IRGC 11070-1::[IRIS 313-9825]	IRIS 313-9825	IRGC 126159	ind2
SML AWINI::IRGC 13391-1::[IRIS 313-9841]	IRIS 313-9841	IRGC 125904	indx
MODDAI KARUPPAN::IRGC 15465-1::[IRIS 313-9862]	IRIS 313-9862	IRGC 126139	ind2
SIGARDIS::IRGC 15555-1::[IRIS 313-9867]	IRIS 313-9867	IRGC 126088	ind1B
CHANDINA::IRGC 36420-1::[IRIS 313-9917]	IRIS 313-9917	IRGC 125699	ind1B
IRI 339::IRGC 46956-1::[IRIS 313-9922]	IRIS 313-9922	IRGC 125778	ind1B
KN 1 B 361-1-8-6-9::IRGC 46974-1::[IRIS 313-9924]	IRIS 313-9924	IRGC 125805	indx
MILYANG 30::IRGC 46977-1::[IRIS 313-9925]	IRIS 313-9925	IRGC 125839	ind1B
TOURBE::IRGC 47066-1::[IRIS 313-9926]	IRIS 313-9926	IRGC 126162	indx
SITHAIYAN KOTTAI SAMBA::IRGC 50155-1::[IRIS 313-9936]	IRIS 313-9936	IRGC 126143	ind2
TIKAL 3::IRGC 50649-1::[IRIS 313-9940]	IRIS 313-9940	IRGC 125923	ind1B
BAMOA A 75::IRGC 51101-1::[IRIS 313-9953]	IRIS 313-9953	IRGC 125671	indx
CICA 9::IRGC 53079-1::[IRIS 313-9966]	IRIS 313-9966	IRGC 125713	ind1B
RACE PERUMAL::IRGC 55347-1::[IRIS 313-9970]	IRIS 313-9970	IRGC 125881	ind2
SSANGDUJO::IRGC 55632-1::[IRIS 313-9976]	IRIS 313-9976	IRGC 125906	ind1A
SOM DIGUIME::IRGC 56751-1::[IRIS 313-9986]	IRIS 313-9986	IRGC 126168	indx
MELEKE::IRGC 56823-1::[IRIS 313-9989]	IRIS 313-9989	IRGC 125838	ind3
SUWEON 311::IRGC 61890-1::[IRIS 313-10000]	IRIS 313-10000	IRGC 125907	ind1B
C 662083::IRGC 62101-1::[IRIS 313-10001]	IRIS 313-10001	IRGC 125692	ind1B
GARURA::IRGC 64111-1::[IRIS 313-10007]	IRIS 313-10007	IRGC 125749	indx
LALKA (LAL DHAN)::IRGC 64946-1::[IRIS 313-10010]	IRIS 313-10010	IRGC 125818	ind2
BOHOTO BALOOCHESTAN::IRGC 66237-1::[IRIS 313-10016]	IRIS 313-10016	IRGC 125954	indx
NS 1576::IRGC 68951-1::[IRIS 313-10032]	IRIS 313-10032	IRGC 125858	aro
RIZ INDETERMINE::IRGC 69014-1::[IRIS 313-10034]	IRIS 313-10034	IRGC 125886	indx
RIZ TYPE SORGHO::IRGC 69015-1::[IRIS 313-10035]	IRIS 313-10035	IRGC 125887	ind2
BANTA TIMA::IRGC 69474-1::[IRIS 313-10045]	IRIS 313-10045	IRGC 125673	indx
CHAMA (DWARF)::IRGC 69487-1::[IRIS 313-10046]	IRIS 313-10046	IRGC 125958	ind1B
EX MARABA GURUKU::IRGC 69582-1::[IRIS 313-10047]	IRIS 313-10047	IRGC 125737	ind1A
MOVE (MOKOLE)::IRGC 69739-1::[IRIS 313-10048]	IRIS 313-10048	IRGC 125996	indx
TSIMATAHOPAOSA::IRGC 69884-1::[IRIS 313-10050]	IRIS 313-10050	IRGC 127091	indx
TOC 5430::IRGC 70487-1::[IRIS 313-10054]	IRIS 313-10054	IRGC 125924	indx
DALSUNG 41::IRGC 79385-1::[IRIS 313-10103]	IRIS 313-10103	IRGC 125721	indx
EX FOILAEIN (NAPUTO)::IRGC 81675-1::[IRIS 313-10113]	IRIS 313-10113	IRGC 125736	indx
SAN SHIH TSI::IRGC 1038-1::[IRIS 313-10129]	IRIS 313-10129	IRGC 125897	ind1A
PIN GAEW 56::IRGC 7887-1::[IRIS 313-10134]	IRIS 313-10134	IRGC 125871	ind3
CAUVERY::IRGC 45255-1::[IRIS 313-10148]	IRIS 313-10148	IRGC 125695	indx
RD 15::IRGC 47705-1::[IRIS 313-10151]	IRIS 313-10151	IRGC 126003	ind3
BR IRGA 409::IRGC 55915-1::[IRIS 313-10161]	IRIS 313-10161	IRGC 125691	ind1B
IR 13429-109-2-2-1::IRGC 63491-1::[IRIS 313-10167]	IRIS 313-10167	IRGC 125773	indx
MIN ZAO 6::IRGC 63772-1::[IRIS 313-10170]	IRIS 313-10170	IRGC 125842	ind1A
YA NONG ZAO 4::IRGC 63908-1::[IRIS 313-10171]	IRIS 313-10171	IRGC 125944	ind1A
DA GANG ZHAN::IRGC 67103-1::[IRIS 313-10177]	IRIS 313-10177	IRGC 125719	indx
GAO JIAO BAI::IRGC 68047-1::[IRIS 313-10178]	IRIS 313-10178	IRGC 125748	ind1A
GUI HUA ZAO::IRGC 68060-1::[IRIS 313-10179]	IRIS 313-10179	IRGC 125755	indx
DA NUO (ZHAN)::IRGC 72025-1::[IRIS 313-10189]	IRIS 313-10189	IRGC 125723	ind1A
DENG DENG QI::IRGC 72036-1::[IRIS 313-10190]	IRIS 313-10190	IRGC 125726	ind1A
MIN KE ZHAN::IRGC 72230-1::[IRIS 313-10191]	IRIS 313-10191	IRGC 125841	ind1A
BA BAI GU::IRGC 79580-1::[IRIS 313-10221]	IRIS 313-10221	IRGC 125663	indx
TONG GU HONG::IRGC 81026-1::[IRIS 313-10226]	IRIS 313-10226	IRGC 125925	indx
PSBRC 50::IRGC 99706-1::[IRIS 313-10234]	IRIS 313-10234	IRGC 125873	ind1B
PSBRC 68::IRGC 99711-1::[IRIS 313-10235]	IRIS 313-10235	IRGC 125874	indx
PSBRC 86::IRGC 99716-1::[IRIS 313-10237]	IRIS 313-10237		ind1B
PSBRC 88::IRGC 99717-1::[IRIS 313-10238]	IRIS 313-10238	IRGC 125876	ind1B
LIU XU::IRGC 109232-1::[IRIS 313-10239]	IRIS 313-10239	IRGC 125827	indx
AMISTAD 82::IRGC 116954-1::[IRIS 313-10247]	IRIS 313-10247	IRGC 125949	ind1B
CEA 3::IRGC 116965-1::[IRIS 313-10260]	IRIS 313-10260	IRGC 125957	indx
CUYAMEL 3820::IRGC 116975-1::[IRIS 313-10263]	IRIS 313-10263	IRGC 125961	indx
IA CUBA 17::IRGC 116990-1::[IRIS 313-10271]	IRIS 313-10271	IRGC 125966	indx
ICTA MOTAGUA::IRGC 116995-1::[IRIS 313-10275]	IRIS 313-10275	IRGC 125968	indx
JUMA 62::IRGC 117011-1::[IRIS 313-10279]	IRIS 313-10279	IRGC 126066	indx
ECIA 24-107-1::IRGC 116978-1::[IRIS 313-10293]	IRIS 313-10293	IRGC 125962	ind1B
IR 21015-72-3-3-3-1::IRGC 117004-1::[IRIS 313-10294]	IRIS 313-10294	IRGC 125972	indx
IRGA 959-1-2-2F-4-1-4A-6-CA-6X::IRGC 117006-1::[IRIS 313-10301]	IRIS 313-10301	IRGC 126064	indx
INIAP 6::IRGC 117002-1::[IRIS 313-10307]	IRIS 313-10307	IRGC 127050	indx
INIAP 10::IRGC 117000-1::[IRIS 313-10314]	IRIS 313-10314	IRGC 125969	indx
CAMPONI::IRGC 116963-1::[IRIS 313-10325]	IRIS 313-10325	IRGC 125956	indx
HP 3319-2WX-6-4-1-B::IRGC 117331-1::[IRIS 313-10353]	IRIS 313-10353	IRGC 127049	indx
IR 63295-AC 209-7::IRGC 117365-1::[IRIS 313-10361]	IRIS 313-10361	IRGC 127053	indx
IR 65483-111-5-9-2-11::IRGC 117286-1::[IRIS 313-10366]	IRIS 313-10366	IRGC 125976	indx
IR 69502-6-SRN-3-UBN-1-B::IRGC 117290-1::[IRIS 313-10374]	IRIS 313-10374	IRGC 125979	indx
IR 75870-5-8-5-B-1::IRGC 117297-1::[IRIS 313-10385]	IRIS 313-10385	IRGC 126062	ind1B
IR 80310-12-B-1-3-B::IRGC 117307-1::[IRIS 313-10394]	IRIS 313-10394	IRGC 125986	indx
IR 80340-23-B-12-6-B::IRGC 117309-1::[IRIS 313-10396]	IRIS 313-10396	IRGC 125987	indx
IRGA 411-1-6-1F-A::IRGC 117344-1::[IRIS 313-10402]	IRIS 313-10402	IRGC 125990	ind1B
PULUTHI KARAN (MIXED)::IRGC 77530-1::[IRIS 313-8306]	IRIS 313-8306		indx
ARC 11867::IRGC 40978-1::[IRIS 313-8315]	IRIS 313-8315		indx
KUNENG::IRGC 71545-1::[IRIS 313-8492]	IRIS 313-8492	IRGC 126226	ind3
AC 13 (T 141)::IRGC 5456-1::[IRIS 313-8606]	IRIS 313-8606	IRGC 131926	ind3
Na souan::IRGC 11889-1::[IRIS 313-8638]	IRIS 313-8638	IRGC 126250	ind3
CO 19::IRGC 5905-1::[IRIS 313-8657]	IRIS 313-8657	IRGC 135525	indx
THIERNO BANDE::IRGC 16009-1::[IRIS 313-9160]	IRIS 313-9160	IRGC 125922	ind3
MACAN BINUNDOK::IRGC 8245-1::[IRIS 313-9243]	IRIS 313-9243	IRGC 126239	indx
LUA CHAN HUONG::IRGC 16800-1::[IRIS 313-9342]	IRIS 313-9342	IRGC 126236	ind3
GUMPANGAR::IRGC 71524-1::[IRIS 313-9409]	IRIS 313-9409	IRGC 131937	ind3
SADOK::IRGC 13334-1::[IRIS 313-9582]	IRIS 313-9582	IRGC 131917	ind3
PA KABAKIE::IRGC 58541-1::[IRIS 313-9687]	IRIS 313-9687		indx
UQUIHUA::IRGC 117037-1::[IRIS 313-10287]	IRIS 313-10287	IRGC 127068	ind1B
RUSTIC::IRGC 117026-1::[IRIS 313-10318]	IRIS 313-10318	IRGC 126085	indx
IR 31142-14-1-1-3-1-1-2::IRGC 117378-1::[IRIS 313-10355]	IRIS 313-10355	IRGC 126023	indx
IR 57514-PMI 5-B-1-2::IRGC 117372-1::[IRIS 313-10360]	IRIS 313-10360	IRGC 126025	indx
IR 67518-B-11-1-B::IRGC 117380-1::[IRIS 313-10371]	IRIS 313-10371	IRGC 126026	indx
KEDOT::IRGC 66568-1::[IRIS 313-8291]	IRIS 313-8291		ind3
SAGNADE::IRGC 15801-1::[IRIS 313-8293]	IRIS 313-8293	IRGC 132432	ind3
BATU::IRGC 71508-1::[IRIS 313-8312]	IRIS 313-8312	IRGC 131932	ind3
ARC 10812::IRGC 21074-1::[IRIS 313-8386]	IRIS 313-8386	IRGC 126173	indx
MARAGBE::IRGC 69263-1::[IRIS 313-8391]	IRIS 313-8391		ind2
NACHIN ER 12::IRGC 14146-1::[IRIS 313-8407]	IRIS 313-8407		ind3
SARA::IRGC 66631-1::[IRIS 313-8457]	IRIS 313-8457		ind3
CHAW GAM PRUED::IRGC 71103-1::[IRIS 313-8466]	IRIS 313-8466		ind3
LEONG ORN 4135::IRGC 14087-1::[IRIS 313-8468]	IRIS 313-8468	IRGC 126233	ind3
MELABOH::IRGC 66597-1::[IRIS 313-8493]	IRIS 313-8493	IRGC 128537	ind3
SERENDAH SUNGAI DUA 25::IRGC 13892-1::[IRIS 313-8557]	IRIS 313-8557	IRGC 131956	ind3
ES 21::IRGC 56171-1::[IRIS 313-8571]	IRIS 313-8571	IRGC 126204	ind3
SIAM ER 32::IRGC 13917-1::[IRIS 313-8591]	IRIS 313-8591	IRGC 135543	ind3
